Kanis SF Data,DSM SF Data,Kanis BM Data,DSM BM Data
16.55,16.4,17.14,16.68
8.75,9.46,13.21,14.4
12.08,12.07,19.71,19.94
0.42,0.22,1.04,0.39
0.07,0.45,0.27,1
0.28,0.11,0.49,0.19
13.06,13.57,19.87,21.58
15.91,14.99,21.29,22.79
16.01,16.3,21.39,23.94
21.69,19.52,24.23,24.83
7.32,7.3,11.8,7.83
13.06,13.5,19.87,21.67
15.91,14.91,21.29,22.72
16.01,16.32,21.39,23.94
21.69,19.54,24.23,24.84
6.32,7.31,11.8,7.83
0.42,0.27,1.04,0.45
0.07,0.45,0.27,0.98
0,0.12,0.49,0.19
12.08,12.09,19.71,19.96
8.75,9.46,13.21,14.38
16.57,16.4,17.14,16.68
3.97,5.68,11.34,15.05
3.97,5.68,11.34,15.11
36.67,36.59,32.37,32.14
43.93,43.59,38.04,37.26
43.77,43.55,37.64,37.09
35.6,36.23,31.4,32.41
44.91,44.17,37.77,38.65
43.27,43.42,37.02,37.43
27.04,27.08,24.86,22.35
69.47,68.51,41.46,44.39
36.78,36.77,34.09,29.34
75.67,74.73,45.63,48.78
36.78,36.77,30.17,28.28
35.6,36.28,31.4,32.49
44.91,44.17,37.77,38.66
43.27,43.42,37.02,37.43
36.67,36.58,32.37,32.13
43.93,43.58,38.04,37.23
43.77,43.55,37.64,37.09
29.67,29.65,17.14,17.16
