Kanis SF Data,DSM SF Data,Kanis BM Data,DSM BM Data
27.99,27.69,30.81,28.88
15.87,17.43,24.03,26.32
21.55,21.66,34.93,35.68
0.55,1.8,4.53,3.18
0.98,0.11,1.54,0.34
3.62,3.64,1.13,3.06
3.05,3.3,5.44,5.85
1.47,1.95,2.28,2.97
3,3,1.75,3.2
3.05,3.3,5.44,5.85
1.47,1.95,2.28,2.97
3,3,1.75,3.2
0.55,1.8,4.53,3.18
0.98,0.11,1.54,0.34
3.62,3.64,1.13,3.06
21.55,21.66,34.93,35.68
15.87,17.43,24.03,26.32
27.99,27.69,15.41,28.88
8.05,9.69,13.71,16.69
8.05,9.69,13.71,16.69
63.78,63.44,55.3,54.35
78.52,77.68,67.69,65.89
78.52,77.99,67.24,66.67
59.82,59.84,51.39,51.17
76.04,76.14,63.83,64.02
76.04,75.92,63.92,63.74
97.33,97.33,67.29,68.72
97.33,97.33,69.96,69.97
97.33,97.33,69.45,69.91
59.82,59.84,51.39,51.17
76.04,75.82,63.83,64.02
76.04,75.98,63.92,63.74
63.78,63.44,55.3,54.35
78.52,78,67.69,65.89
78.52,78.31,67.24,66.67
29.67,29.67,16.81,16.69
