Kanis SF Data,DSM SF Data,Kanis BM Data,DSM BM Data
15.49,15.48,17.16,16.12
8.7,9.65,13.26,14.55
12.12,12.27,19.86,20.35
1.13,1.08,2.16,1.97
0.33,0.16,0.58,0.34
1.55,1.71,0.93,1.42
1.27,1.46,2.33,2.85
2.2,2.16,3.17,3.44
3.85,3.86,3.39,3.81
1.27,1.46,2.33,2.85
2.2,2.16,3.17,3.44
3.85,3.86,3.39,3.81
1.13,1.08,2.16,1.97
0.33,0.16,0.58,0.34
1.59,1.71,0.93,1.42
12.12,12.27,19.86,20.35
8.7,9.65,13.26,14.55
15.49,15.48,17.16,16.12
35.73,36.29,31.84,31.01
43.85,43.41,37.8,36.7
43.74,43.6,37.53,37.16
34.51,34.32,29.68,29.04
42.78,42.66,36.14,35.78
42.68,42.62,36.05,35.87
42.28,36.77,26.64,26.66
42.28,36.77,27.55,27.56
42.28,36.77,27.28,27.29
34.51,34.32,29.68,29.04
42.78,42.66,36.14,35.78
42.68,42.62,36.05,35.87
35.73,36.29,31.84,31.01
43.85,43.41,37.8,36.7
43.74,43.6,37.53,37.16
